"用户ID","房间特征","运行效率","耗材","对比","时间"
"1001","30㎡公寓 | 西晒 | 独居 | 卧室","制热效果:良好\n日均运行:5小时\n月用电量:120度\n温差:±1℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","优于80%同户型用户","2025-12"
"1002","60㎡两居 | 朝南 | 情侣 | 客厅+卧室","制热效果:良好\n日均运行:6小时\n月用电量:150度\n温差:±1.5℃","滤网寿命:剩余20天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","与同类持平","2025-12"
"1003","80㎡三居 | 东西向 | 有猫 | 客厅+卧室","制热效果:一般\n日均运行:7小时\n月用电量:180度\n温差:±2℃","滤网寿命:剩余15天\n制冷剂:充足\n电辅热:经常开启\n压缩机状态:正常","建议更换滤网","2025-12"
"1004","90㎡三居 | 北向 | 有老人 | 卧室+客厅","制热效果:良好\n日均运行:8小时\n月用电量:200度\n温差:±1℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","优于75%同朝向用户","2025-12"
"1005","200㎡别墅 | 多房间 | 中央空调","制热效果:优秀\n日均运行:10小时\n月用电量:320度\n温差:±0.5℃","滤网寿命:剩余35天\n制冷剂:充足\n电辅热:智能控制\n压缩机状态:正常","能耗低于同类10%","2025-12"
"1006","100㎡复式 | 有儿童 | 上下层","制热效果:一般\n日均运行:9小时\n月用电量:220度\n温差:±2℃","滤网寿命:剩余10天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","滤网即将到期","2025-12"
"1007","40㎡一居 | 朝东 | 独居","制热效果:良好\n日均运行:4小时\n月用电量:90度\n温差:±1℃","滤网寿命:剩余40天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","节能表现前12%","2025-12"
"1008","120㎡三居 | 西晒 | 三口之家 | 客厅大","制热效果:优秀\n日均运行:7小时\n月用电量:180度\n温差:±1℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:偶尔开启\n压缩机状态:正常","西晒房间制热好","2025-12"
"1009","70㎡两居 | 南北通透 | 养狗","制热效果:良好\n日均运行:5小时\n月用电量:130度\n温差:±1.5℃","滤网寿命:剩余30天\n制冷剂:充足\n电辅热:未使用\n压缩机状态:正常","优于同类13%","2025-12"
"1010","50㎡一居 | 朝北 | 出租房","制热效果:一般\n日均运行:6小时\n月用电量:160度\n温差:±2.5℃","滤网寿命:剩余25天\n制冷剂:充足\n电辅热:开启\n压缩机状态:正常","整体表现稳定","2025-12"
